experiment,dataset,param,value,accuracy
k_sensitivity,USPS→MNIST,k,10,34.35
k_sensitivity,USPS→MNIST,k,20,43.45
k_sensitivity,USPS→MNIST,k,30,46.10
k_sensitivity,USPS→MNIST,k,40,49.45
k_sensitivity,USPS→MNIST,k,50,50.60
k_sensitivity,USPS→MNIST,k,60,51.55
k_sensitivity,USPS→MNIST,k,70,53.80
k_sensitivity,USPS→MNIST,k,80,53.60
k_sensitivity,USPS→MNIST,k,90,53.30
k_sensitivity,USPS→MNIST,k,100,54.05
k_sensitivity,USPS→MNIST,k,110,53.85
k_sensitivity,USPS→MNIST,k,120,53.75
k_sensitivity,USPS→MNIST,k,130,54.20
k_sensitivity,USPS→MNIST,k,140,54.20
k_sensitivity,USPS→MNIST,k,150,54.65
k_sensitivity,USPS→MNIST,k,160,54.40
k_sensitivity,USPS→MNIST,k,170,54.65
k_sensitivity,USPS→MNIST,k,180,55.35
k_sensitivity,USPS→MNIST,k,190,55.50
k_sensitivity,USPS→MNIST,k,200,55.20
k_sensitivity,PIE1→PIE2,k,10,17.37
k_sensitivity,PIE1→PIE2,k,20,50.46
k_sensitivity,PIE1→PIE2,k,30,51.63
k_sensitivity,PIE1→PIE2,k,40,56.48
k_sensitivity,PIE1→PIE2,k,50,53.78
k_sensitivity,PIE1→PIE2,k,60,62.49
k_sensitivity,PIE1→PIE2,k,70,61.57
k_sensitivity,PIE1→PIE2,k,80,62.68
k_sensitivity,PIE1→PIE2,k,90,65.32
k_sensitivity,PIE1→PIE2,k,100,67.89
k_sensitivity,PIE1→PIE2,k,110,64.27
k_sensitivity,PIE1→PIE2,k,120,67.34
k_sensitivity,PIE1→PIE2,k,130,67.71
k_sensitivity,PIE1→PIE2,k,140,64.64
k_sensitivity,PIE1→PIE2,k,150,66.05
k_sensitivity,PIE1→PIE2,k,160,68.57
k_sensitivity,PIE1→PIE2,k,170,70.04
k_sensitivity,PIE1→PIE2,k,180,71.09
k_sensitivity,PIE1→PIE2,k,190,68.26
k_sensitivity,PIE1→PIE2,k,200,69.74
k_sensitivity,A→D,k,10,43.31
k_sensitivity,A→D,k,20,39.49
k_sensitivity,A→D,k,30,44.59
k_sensitivity,A→D,k,40,40.13
k_sensitivity,A→D,k,50,35.03
k_sensitivity,A→D,k,60,40.76
k_sensitivity,A→D,k,70,38.85
k_sensitivity,A→D,k,80,35.67
k_sensitivity,A→D,k,90,36.94
k_sensitivity,A→D,k,100,35.03
k_sensitivity,A→D,k,110,34.39
k_sensitivity,A→D,k,120,31.85
k_sensitivity,A→D,k,130,31.21
k_sensitivity,A→D,k,140,30.57
k_sensitivity,A→D,k,150,32.48
k_sensitivity,A→D,k,160,32.48
k_sensitivity,A→D,k,170,32.48
k_sensitivity,A→D,k,180,31.85
k_sensitivity,A→D,k,190,34.39
k_sensitivity,A→D,k,200,34.39
lambda_sensitivity,USPS→MNIST,lambda,0.01,52.90
lambda_sensitivity,USPS→MNIST,lambda,0.1,54.05
lambda_sensitivity,USPS→MNIST,lambda,1.0,55.10
lambda_sensitivity,USPS→MNIST,lambda,10.0,53.90
lambda_sensitivity,PIE1→PIE2,lambda,0.01,64.27
lambda_sensitivity,PIE1→PIE2,lambda,0.1,67.89
lambda_sensitivity,PIE1→PIE2,lambda,1.0,64.21
lambda_sensitivity,PIE1→PIE2,lambda,10.0,45.24
lambda_sensitivity,A→D,lambda,0.01,35.67
lambda_sensitivity,A→D,lambda,0.1,35.03
lambda_sensitivity,A→D,lambda,1.0,35.03
lambda_sensitivity,A→D,lambda,10.0,38.22
lambda_sensitivity,USPS→MNIST,lambda,0.0001,52.80
lambda_sensitivity,USPS→MNIST,lambda,0.001,53.00
lambda_sensitivity,PIE1→PIE2,lambda,0.0001,68.45
lambda_sensitivity,PIE1→PIE2,lambda,0.001,68.20
lambda_sensitivity,A→D,lambda,0.0001,35.67
lambda_sensitivity,A→D,lambda,0.001,35.67
